MAE,RMSE,SFN,MAPE
101.0056,147.9547,0.93029463,0.27431923
80.57731,119.57432,0.9041461,0.21167684
91.073265,149.73085,0.9747908,0.2038565
89.91255,131.6632,1.0710692,0.23366769
71.46065,114.42939,0.85368806,0.17990948
103.63743,148.15927,0.9368618,0.2645149
188.10684,236.3475,1.1107562,0.56272894
73.75531,111.65189,0.8659132,0.1834102
85.60179,123.11228,0.89900833,0.2572016
87.24325,137.63026,0.9104282,0.22381286
81.03854,119.265495,0.88587487,0.21174437
75.31864,111.69848,0.863972,0.198363
75.97355,110.564995,0.8595849,0.22154827
80.57422,118.56394,0.9403275,0.22363947
74.513695,113.92565,0.8550074,0.19040826
75.77203,119.7561,0.85021865,0.19032371
107.038345,172.08276,0.9923524,0.23559989
73.543,114.85568,0.88112485,0.1970932
79.453926,124.30357,0.85278547,0.21368876
79.39411,125.62986,0.86407626,0.19186407
89.96974,138.5406,0.9017503,0.24642228
76.192635,117.0445,0.8519221,0.20171557
90.10231,132.54727,0.92513776,0.2557848
137.44269,183.64621,1.0431776,0.43366352
87.83083,131.92862,0.8807298,0.22338799
115.72991,157.34908,0.9283694,0.36886743
138.84428,202.13652,1.1630297,0.37290886
113.489944,164.19576,1.012063,0.33220142
75.48987,113.760704,0.8509387,0.20000915
81.929245,126.89856,0.8706168,0.21320203
113.57348,160.5595,0.99138355,0.3190742
83.28502,134.11836,0.87340546,0.20524181
149.71368,195.47385,1.0569685,0.4521917
143.06078,200.88452,1.0861577,0.33492362
75.45719,118.71341,0.8808594,0.19607522
81.135735,134.82384,0.92141837,0.18853068
81.49482,118.98475,0.8680198,0.2145589
74.56188,114.68466,0.8413011,0.18584411
84.225525,141.80388,0.9081118,0.19878656
82.63461,125.106224,0.8499181,0.2085178
98.92601,144.37697,0.9136555,0.27158737
74.11779,112.85866,0.8467337,0.20525302
82.23152,122.2248,0.8874755,0.23186283
101.11185,135.61398,1.053089,0.27239445
155.02885,208.75496,1.2097567,0.5063039
125.048164,157.31998,0.94726205,0.41265014
78.24617,121.178566,0.9058596,0.19640563
72.065544,113.10989,0.86767685,0.18206427
84.53562,122.35764,0.91561055,0.24651735
76.8838,119.26019,0.838048,0.19474497
91.03009,136.63957,0.90867805,0.24058656
84.72975,135.47824,0.8743362,0.19740413
109.72925,149.7047,0.96007437,0.31823775
107.38447,162.2308,1.2828546,0.26739287
87.143524,131.17772,0.89814657,0.24351326
79.051605,118.42456,0.84885037,0.21475787
103.060974,138.17923,0.87180734,0.31319168
84.46258,126.13451,0.9337669,0.23110446
74.62135,111.9517,0.8384303,0.20525335
82.07656,134.95976,0.862718,0.18752252
91.923904,134.67978,0.8780732,0.24633798
92.66744,150.14613,0.9048791,0.20733693
139.93767,180.85753,0.9870796,0.42756447
88.87374,130.98296,1.1041472,0.246839
86.1118,124.091675,0.895381,0.2546536
82.48039,137.04713,0.91450953,0.19764878
127.62463,196.42151,1.0371472,0.2852942
78.221146,125.27148,0.89888316,0.19906352
130.38107,225.21916,1.2514411,0.2561391
117.011505,159.95062,0.95188326,0.3192427
93.965164,148.75954,0.9228128,0.2704197
86.18937,135.10135,0.89964634,0.2469705
75.198044,114.10839,0.84482646,0.20538391
96.923035,144.49506,1.2747793,0.24979891
80.52289,121.745056,0.8786281,0.23026574
84.9248,122.72942,0.8611281,0.24781862
75.23912,116.17743,0.8633884,0.18792549
105.5451,155.86789,0.9990529,0.27443218
108.38609,150.20433,1.045147,0.32987833
80.90899,120.324715,0.8658688,0.22277462
118.51468,169.11194,0.97966003,0.32404122
76.06265,124.814964,0.8503374,0.19687074
107.42868,152.62903,0.98587286,0.30503374
101.516464,152.93617,1.1714885,0.27794728
84.182594,124.98857,0.88041687,0.2410169
79.54499,120.962326,0.8674597,0.21735348
74.85427,111.738235,0.89289224,0.20086774
84.25795,129.45265,0.87134194,0.2233717
82.3874,133.99875,0.8554819,0.19474472
71.04497,112.91547,0.8269049,0.18614301
95.876564,135.91124,0.87591696,0.27554184
87.14723,139.21158,0.8815323,0.2062777
79.14917,118.56849,0.8632431,0.2098064
123.85298,185.78638,1.4332303,0.3005194
80.006355,116.84172,0.85827076,0.2357669
73.17074,110.595566,0.82319456,0.20277636
71.95276,110.63417,0.8268389,0.19096303
76.67557,122.01169,0.8542042,0.18009165
90.39861,135.3717,0.9370812,0.23999514
105.31372,143.35304,0.86290324,0.33636382
